"Please Cite as: Women’s Philanthropy Institute, Indiana University Lilly Family School of Philanthropy & DataLake, LLC. (2023). Women & Girls Index [Data file]. http://www.philanthropy.iupui.edu/wgi",
546057964,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WILLIAMSBURG CHAPTER
546057965,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION LYNCHBURG DAR
546058890,NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS CHANCO CHAPTER
546058891,NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS VIRGINIA STATE SOCIETY
546059549,NATIONAL SOCIETY DAUGHTER OF THE AMERICAN COLONISTS FORT HENRY CHAPTER
546059550,NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS COLONEL WILLIAM BYRD CHAPTER
546059797,JUNIOR WOMANS CLUB OF LOUDOUN INC
546062531,PILOT CLUB OF DANVILLE INC
546063313,PEARISBURG WOMANS CLUB PJWC
546063338,GENERAL FEDERATION OF WOMENS CLUB GFWC YORKTOWN WOMANS CLUB
546065332,GENERAL FEDERATION OF WOMENS CLUB GFWC JR WOMANS CLUB OF NEWPORT NEWS
546065513,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION JAMES ALLEN DAR
546068489,VIRGINIA BEACH JR WOMANS CLUB INC
546070299,ELIZABETH KATES FOUNDATION INC
546070319,JUNIOR FEDERATED WOMANS CLUB OF CHESTER
546070915,WOMANS CLUB OF WILLIAMSBURG GFWC
546073379,WAYNESBORO FIRST AID CREW INC
546073708,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 62 295 000 90001118 HAMPTON
546073716,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 62 637 000 90001131 ROANOKE
546073727,UNITED DAUGHTERS OF THE CONFEDERACY 7 MARY CUSTIS LEE 17TH VA REGIMENT
546073731,UNITED DAUGHTERS OF THE CONFEDERACY 11 APPOMATTOX CHAPTER
546073734,UNITED DAUGHTERS OF THE CONFEDERACY 45 FARMVILLE CHAPTER
546073736,UNITED DAUGHTERS OF THE CONFEDERACY 68 RAWLEY MARTIN
546073738,UNITED DAUGHTERS OF THE CONFEDERACY 73 CULPEPPER
546073740,UNITED DAUGHTERS OF THE CONFEDERACY 154 ALBEMARLE CHAPTER
546073742,UNITED DAUGHTERS OF THE CONFEDERACY 163 FREDERICKSBURG CHAPTER
546073744,UNITED DAUGHTERS OF THE CONFEDERACY 167 HAMPTON CHAPTER
546073746,UNITED DAUGHTERS OF THE CONFEDERACY 175 MANASSAS CHAPTER
546073747,UNITED DAUGHTERS OF THE CONFEDERACY 185 BETHEL CHAPTER
546073758,UNITED DAUGHTERS OF THE CONFEDERACY 233 GEN ROBERT EDWARD LEE
546073760,UNITED DAUGHTERS OF THE CONFEDERACY 441 13TH VIRGINIA REGIMENT
546073766,UNITED DAUGHTERS OF THE CONFEDERACY 1093 MADISON CHAPTER
546073772,UNITED DAUGHTERS OF THE CONFEDERACY 1399 HANOVER CHAPTER
546073776,UNITED DAUGHTERS OF THE CONFEDERACY 1467 GOOCHLAND CHAPTER
546073777,UNITED DAUGHTERS OF THE CONFEDERACY 1469 HIGHLAND CHAPTER
546073778,UNITED DAUGHTERS OF THE CONFEDERACY 1573 ARLINGTON
546073779,UNITED DAUGHTERS OF THE CONFEDERACY 1624 BOYDTON
546073783,UNITED DAUGHTERS OF THE CONFEDERACY 1868 MINERAL
546073789,UNITED DAUGHTERS OF THE CONFEDERACY 2347 SARAH RICE PRYOR CHAPTER
546073858,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103001 ACCOMACK COUNTY VA
546073861,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103024 FREDERICKSBURG VA
546073862,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103040 HAMPTON ROADS VA
546073935,UNITED DAUGHTERS OF THE CONFEDERACY 180 ANNA STONEWALL JACKSON
546073937,UNITED DAUGHTERS OF THE CONFEDERACY 9 BLACK HORSE
546073941,UNITED DAUGHTERS OF THE CONFEDERACY 699 ISLE OF WIGHT CHAPTER
546073942,UNITED DAUGHTERS OF THE CONFEDERACY 1932 JANET RANDOLPH
546073944,UNITED DAUGHTERS OF THE CONFEDERACY 1379 LEE CHAPTER
546073954,UNITED DAUGHTERS OF THE CONFEDERACY 1907 ROANOKE
546073956,UNITED DAUGHTERS OF THE CONFEDERACY 746 SOUTHERN CROSS
546073957,UNITED DAUGHTERS OF THE CONFEDERACY 863 STOVER CAMP CHAPTER
546073959,UNITED DAUGHTERS OF THE CONFEDERACY 184 TURNER ASHBY
546073962,UNITED DAUGHTERS OF THE CONFEDERACY 637 WILLIAMSBURG CHAPTER
546075657,LADIES PROGRESSIVE SOCIETY OF THE GREEK ORTHODOX CHURCH
546076643,NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONIST MAJOR GEORGE PARKER CHAPTER
546144887,NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS MAJOR SIMON WILLARD CHAPTER
546692019,MARC AND DIANN BURNS WATTS CHARITABLE SUPPORT FOUNDATION TR MARC WATTS ET AL TTEE
550332489,WOMANS CLUB OF LOGAN LIBRARY INC
550357060,YWCA OF CHARLESTON WEST VIRGINIA INC
550357061,YOUNG WOMENS CHRISTIAN ASSOCIATION OF MARION COUNTY WEST VIRGINIA
550357062,YOUNG WOMENS CHRISTIAN ASSOCIATION YWCA OF PARKERSBURG
550357063,YOUNG WOMENS CHRISTIAN ASSOCIATION OF WHEELING WV
550358907,WOMANS CLUB OF HUNTINGTON
550365157,JUNIOR LEAGUE OF WHEELING INC
550367242,WOMENS CLUB OF FAIRMONT INC
550382039,PROGRESSIVE WOMENS ASSOCIATION
550402873,GENERAL FEDERATION OF WOMENS CLUB GFWC PARKERSBURG WOMANS CLUB
550417074,JUNIOR LEAGUE OF FAIRMONT INC
550420373,GIRL SCOUTS OF BLACK DIAMOND COUNCIL
550438805,JUNIOR LEAGUE OF AMERICA ASSOCIATION INC
550459646,INTERNATIONAL MOTHERS DAY SHRINE INC
550485799,GFWC WEST VIRGINIA INC
550491773,JUNIOR LEAGUE OF CHARLESTON
550555558,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 09 096 000 90000066 BLUEFIELD PRINC
550559874,WOMENS HEALTH CENTER OF WEST VIRGINIA INC
550563956,BIRTHRIGHT OF MORGANTOWN INC
550566129,AUXILIARY OF THE CHARLESTON AREA MEDICAL CENTER INC
550567829,MOTHERS DAY OUT NURSERY INC
550569927,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103022 SI OF FAIRMONT WV
550572859,RANDOLPH COUNTY DOMESTIC TRAINING AND REFERRAL PROGRAM
550574691,BIRTHRIGHT SERVICES INC
550576038,WOMANS CHOICE INC
550578788,SHENANDOAH WOMENS CENTER INC
550579494,GENERAL FEDERATION OF WOMENS CLUB GFWC WOMANS CLUB OF BRIDGEPORT
550589593,CHURCH WOMEN UNITED DUNBAR
550595321,CATHOLIC DAUGHTERS OF THE AMERICAS WEST VIRGINIA STATE COURT
550596106,WOMENS AID IN CRISIS
550600211,WEST VIRGINIA WOMENS FOUNDATION INC
550600287,BRANCHES DOMESTIC VIOLENCE SHELTER OF HUNTINGTON WVA INC
550608529,ELIZABETH BEAUCHAMP CHAPTER OF THE DAUGHTERS OF AMERICAN PIONEERS
550615619,PENNSBORO WOMANS CLUB
550616563,UPPER OHIO VALLEY SEXUAL ASSAULT
550621707,WEST VIRGINIA FOUNDATION FOR RAPE INFORMATION AND SERVICES INC
550640493,BIRTHRIGHT OF BECKLEY WEST VIRGINIA INC
550640571,GFWC WOMANS CLUB OF BECKLEY
550647494,S A F E INC STOP ABUSIVE FAMILY ENVIRONMENTS
550658970,CENTRAL WV CENTER FOR PREGNANCY CARE INC
550667532,CHRISTIANS UNITED WOMENS ORGANIZATION OF TWISTABOUT PRECIOU
550671629,UNITED DAUGHTERS OF THE CONFEDERACY 261 LAWSON BOTTS
550676473,INTERNATIONAL ORDER OF THE RAINBOW GIRLS WEST VIRGINIA GRAND
550680952,JOBS DAUGHTERS INTERNATIONAL 1 BETHEL
550683341,SUMMERSVILLE WOMANS CLUB INC
550710139,SOCIETY FOR ANALYTICAL FEMINISM
550712205,WEST VIRGINIA HEALTHY MOTHERS HEALTHY BABIES COALITION INC WEST VIRGINIA HEALTHY MOTHERS
550714689,WOMENS CARE CENTER INC
550715930,WEST VIRGINIA FREE INCORPORATED
550719465,LA LECHE LEAGUE INTERNATIONAL INC LLL CHARLESTON WV
550721631,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ELK RIVER DAR
550721961,NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS GOVERNOR NORBORNE BERKELEY CHAPTER
550725689,ABEL CRISIS PREGNANCY CENTER INC
550726815,ELKINS HIGH SCHOOL ALUMNAE ASSOC INC
550728664,COMMUNITY WOMANS CLUB OF SISSONVILLE
550732166,NATIONAL SOCIETY UNITED STATES DAUGHTERS OF 1812 LORD CALVERT CHAPTER
550734559,TRADESWOMEN OF WEST VIRGINIA INC
550737166,UNITED DAUGHTERS OF THE CONFEDERACY 2580 BORDER RANGER
550737348,BIRTHRIGHT OF ST ALBANS WEST VIRGINIA INC
550737460,SOCIETY OF WOMEN ENGINEERS WEST VIRGINIA UNIVERSITY
550741723,UNITED DAUGHTERS OF THE CONFEDERACY 150 HUNTINGTON CHAPTER
550743235,DOMESTIC VIOLENCE SURVIVORS SUPPORT GROUP
550746027,MOTHER GOOSE CHILD CARE COOP INC
550746287,PREGNANCY RESOURCE CENTER OF MARION COUNTY INC PREGNANCY RESOURCE CENTER
550760209,JHS GIRLS SOCCER BOOSTERS
550764616,GLENDALE WOMENS CLUB
550766261,NEW LIFE FAMILY WORSHIP CENTER
550773215,WOMANS CLUB OF ALDERSON ALDERSON
550773297,WOMANSONG INC
550773340,APPALACHIAN WOMENS LEADERSHIP PROJECT
550773678,CARE PREGNANCY CENTER EASTERN PANHANDLE OF WV INC
550775351,WEST VIRGINIA WOMEN WORK INC
550777558,PILOT CLUB OF JACKSON COUNTY II ASSOCIATION
550784408,REA OF HOPE FELLOWSHIP HOME INC
550785474,SISTERS OF ST JOSEPH HEALTH AND WELLNESS FOUNDATION
550785972,MERCER COUNTY SEXUAL ASSAULT TASK FORCE INC
550786984,BLACK FEMALES FOR JUSTICE II AT SOCIAL SECURITY ADMINISTRATION
550789438,WAIANAE COAST CHRISTIAN WOMENS JOB CORPS
550790674,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 102304 BUCKS COUNTY PA
550793099,YORKTOWN REVOLUTION GIRLS FAST PITCH SOFTBALL CLUB INC
550794474,JOYFUL CHILD FOUNDATION IN MEMORY OF SAMANTHA RUNNION
550794959,NATIONAL ASSOCIATION OF NEGRO BUSINESS AND PROFESSIONAL WOMENS CLU CENTURY CLUB
550795814,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC 2002 CLASS OF
550796646,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 112430 VERDUGOS CA
550797727,JOBS DAUGHTERS INTERNATIONAL 77 BETHEL
550798490,WIBJ WOMEN IN BLUE JEANS
550800601,TEXAS WOMENS LEAGUE
550802834,HER2 SUPPORT GROUP ORG
550803556,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 20 322 000 90002024 BAYWINDS
550804421,NATIONAL CHARITY LEAGUE BLUE HILLS CHAPTER
550804570,TAUNTON DYNAMITES
550804827,VALLEY MESA GIRLS FASTPITCH SOFTBALL LEAGUE
550806460,BILATERAL SAFETY CORRIDOR COALITION
550809558,ASHA RAY OF HOPE INC
550810403,JUNIOR LEAGUE OF ALBANY ENDOWMENT FUND
550810673,ELIMINATORS GIRLS FASTPITCH TRAVEL BALL TEAM
550811605,SOCIETY OF WOMEN ENGINEERS STANFORD UNIVERSITY SECTION
550813043,WARREN COUNTY WOMENS CHARITY ORGANIZATION
550818191,GFWC AMHERST WOMANS CLUB INC
550818906,R O A R RESPONSIBLE OVARIAN AWARENESS REQUIRED R O A R
550822124,NATIONAL COLLABORATIVE FOR WOMENS HISTORY SITES INC
550823560,WOMEN OF THE MAINE OUTDOORS
550824184,PARADISE PINES WOMENS CLUB
550826480,AMATEUR ATHLETIC UNION OF THE US INC NEW JERSEY FREEDOM
550826821,GIFTED HANDS TALENTED MINDS
550829312,SOUDERTON AREA GIRLS LACROSSE ASSOCIATION
550829827,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 111310 OKANOGAN VALLEY WA
550829962,GRAND STRAND SOFTBALL CLASSIC INC
550836010,CREATING ECONOMIC OPPORTUNITIES FOR WOMEN INC
550837413,LA LECHE LEAGUE INTERNATIONAL INC LLL DENVER PM
550838870,WOMEN OF SOUTHWESTERN PA INC
550841562,PODER CHARITIES AND EDUCATION FUND INC
550846254,WESTWOOD WOMENS SOCCER BOOSTER CLUB
550850229,CATHOLIC DAUGHTERS OF THE AMERICAS 2519 OUR LADY OF THE SEA
550855188,LA LECHE LEAGUE OF THE NEW RIVER VALLEY
550855733,CENTER FOR PREGNANCY CHOICES OF LAWRENCE COUNTY INC
550856183,HOUSE OF MIRACLES
550856946,AN ARRAY OF CHARM CAMPS FOR YOUTH DEVELOPMENT AAOC
550858094,SCIOTO VALLEY WOMENS RUGBY CLUB
550863996,MEETING PLACE ONE INC
550865708,MIDDLE GEORGIA ASSOCIATION OF CLERGYWOMEN INC
550865759,COLLINS FAMILY PLANNING CLINIC
550869946,DAUGHTERS OF ST DOMINIC
550870570,GABRIEL PROJECT INC
550874182,SISTERS OF THE ADORATION CORP
550878394,DAUGHTERS OF POWER INC
550878578,ELINORS HOUSE INC
550879074,DAUGHTERS OF ZION INC
550880014,WOMENS HEALTH RESOURCE LIBRARY
550880128,NEW BIRTH FAITH TABERNACLE CHRISTIAN BAPTIST CHURCH
550880198,ALL AMERICAN SPORTS ACADEMY TEAMS
550880534,EDGECOMBE COUNTY VETERANS MILITARY MUSEUM
550881462,SISTERS IN MINISTRY INC
550881696,SOCIETY OF WOMEN ENGINEERS UNIVERSITY OF HAWAII AT MANOA
550883064,HORSHAM GIRLS LACROSSE CLUB INC
550883096,LA LECHE LEAGUE INTERNATIONAL INC LLL BUXTON ID 15542
550883374,NATIONAL WILD TURKEY FEDERATION INC WORKING WOMENS SEMINAR LIFE ENHANCE
550886684,BRUSHY CREEK LIFE CARE CENTER
550890897,FURNITURE BANK OF SOUTHEAST CONNECTICUT INC
550892366,WOMEN WITH A CAUSE PARTNER IN MINISTRY
550893289,SWEDISH WOMENS EDUCATIONAL ASSOCIATION AUSTIN
550895632,CENTRAL AMERICAN WOMENS FUND
550895676,CITIZENS FOR SAFE BIRTH
550897084,BAY AREA WOMENS SPORTS INITIATIVE INC
550897885,ARIZONA POSTPARTUM WELLNESS COALITION
550899390,HELP END ABUSE FOR LIFE INC HEAL
550901169,CLASSIE LASSIE GIRLS SOFTBALL LEAGUE INC
550905006,RHODE ISLAND STATE RIGHT TO LIFE EDUCATIONAL FUND
550906534,GIRLS ON THE RUN NAPA AND SOLANO INC
550911280,NATIONAL COUNCIL OF NEGRO WOMEN INC IN005 LAWRENCE INDIANA SECTION
550911836,BLUE STAR MOTHERS OF AMERICA INC 1 WASHINGTON STATE CHAPTER
550915574,PROFESSIONAL WOMENS FELLOWSHIP PWFSD
554706748,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA
556000962,WOMANS CLUB OF WHEELING
556016696,JUNIOR LEAGUE OF HUNTINGTON INC
556017860,CATHOLIC DAUGHTERS OF AMERICA COURT PAULA NO 741
556018966,CATHOLIC DAUGHTERS OF THE AMERICAS 784 BISHOP DONAHUE
556019474,ALUMNAE ASSOCIATION OF ST MARYS SCHOOL OF NURSING ST MARYS HOSPITA
556019517,NATIONAL SOCIETY OF DAUGHTERS OF AMERICAN REVOLUTION WEST VIRGINIA STATE SOCIETY
556020066,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103000 SOUTH ATANTIC REGION
556020119,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ELIZABETH LUDINGTON HAGANS COL JOHN
556020222,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WHEELING DAR
556020721,CATHOLIC DAUGHTERS OF THE AMERICAS COURT CARROLL 299
556021398,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COLONEL MORGAN MORGAN DAR
556021413,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION COLONEL CHARLES LEWIS DAR
556021922,GFWC WOMENS CLUB OF RIPLEY
556022013,CATHOLIC DAUGHTERS OF THE AMERICAS 379 VICTORY
556023548,NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS MONOGAHELA VALLEY CHAPTER
556023549,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION TRANS ALLEGHNEY DAR
556023701,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ANNE ROYALL DAR
556023703,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BARBOURSVILLE DAR
556023707,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION MATTHEW FRENCH DAR
556023708,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION SOUTH BRANCH VALLEY DAR
556024173,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION WILLIAM HENSHAW DAR
556024540,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION ELIZABETH ZANE DAR
556025345,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION KANAWHA VALLEY DAR
556025365,GFWC WV WOMANS CLUB OF DUNBAR INC
556026236,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION JAMES WOOD DAR
556028029,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION
556028139,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BUFORD
556028444,DAUGHTERS OF AMERICAN PIONEERS CENTENNIAL CHAPTER
556028991,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103039 MORGANTOWN WV
556028992,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC 103016 SI OF CHARLESTON WV
556029622,COLLEGIATE ALUMNAE OF WHEELI
556036964,UNITED DAUGHTERS OF CONFEDERACY WEST VIRGINIA DIVISION
556036966,UNITED DAUGHTERS OF THE CONFEDERACY 172 BLUEFIELD CHAPTER
556036969,UNITED DAUGHTERS OF THE CONFEDERACY 1333 STONEWALL JACKSON CHAPTER
556036976,UNITED DAUGHTERS OF THE CONFEDERACY 264 BERKELEY COUNTY
556036977,UNITED DAUGHTERS OF THE CONFEDERACY 2001 SOUTHERN CROSS
556036980,UNITED DAUGHTERS OF THE CONFEDERACY 128 SHEPHERDSTOWN
556036982,UNITED DAUGHTERS OF THE CONFEDERACY 1233 UNION CHAPTER
556037308,SOROPTIMIST INTERNATIONAL OF WHEELING
556038954,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 09 129 000 90000068 CHARLESTON
556059953,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION JOHN COOKE DAR
556102454,WEST VIRGINIANS FOR LIFE INC EDUCATIONAL TRUST FUND
560221539,HERITAGE SQUARE HISTORICAL SOCIETY OF NORTH CAROLINA INC
560466492,GFWC OF NORTH CAROLINA INC
560525979,JUNIOR LEAGUE OF HIGH POINT NORTH CAROLINA INC BARGAIN BOUTIQUE
560529936,YWCA GREENSBORO
560529967,SAFE ALLIANCE INC
560530005,SALEM ACADEMY AND COLLEGE
560530242,MEREDITH COLLEGE
560532139,YOUNG WOMENS CHRISTIAN ASSOCIATION OF THE CENTRAL CAROLINAS INC
560532296,BENNETT COLLEGE
560532314,SAINT MARYS SCHOOL
560543237,GIRL SCOUTS TARHEEL TRIAD COUNCIL INC
560547476,YWCA OF ASHEVILLE AND WESTERN NORTH CAROLINA INC
560556766,YWCA OF THE LOWER CAPE FEAR INC
560561657,JUNIOR LEAGUE OF CHARLOTTE INC
560562849,JUNIOR LEAGUE OF RALEIGH INC
560563842,GIRL SCOUTS HORNETS NEST COUNCIL
560564345,YOUNG WOMENS CHRISTIAN ASSOCIATION OF WINSTON SALEM AND FORSYTH COUNTY
560568408,YOUNG WOMENS CHRISTIAN ASSOCIATION OF THE GREATER TRIANGLE INC
560577626,FLORENCE CRITTENTON SERVICES INC
560577629,GIRL SCOUTS CAROLINAS PEAKS TO PIEDMONT INC
560579600,YOUNG WOMENS CHRISTIAN ASSOCIATION OF HIGH POINT NC INC
560616477,GIRLS INCORPORATED OF WILMINGTON NC
560685368,JUNIOR LEAGUE OF GREENSBORO INC
560753084,DURHAM FOUNDATION ANNIE WATTS HILL FUND
560754928,CHAPEL HILL SERVICE LEAGUE
560776014,PILOT CLUB OF MORGANTON PILOT CLUB OF MORGANTON
560791500,GIRL SCOUTS NORTH CAROLINA COASTAL PINES INC
560792300,JUNIOR LEAGUE OF WILMINGTON N C INC
560896240,OPERATION SUNSHINE INC
560943037,JUNIOR LEAGUE OF ASHEVILLE INC
560987089,SPIRITUAL ENLIVENMENT OF WOMEN FOUNDATION INC
561071085,IPAS
561096751,HOPELINE INC
561138753,HELP INCORPORATED CENTER AGAINST VI OLENCE
561139987,HADASSAH THE WOMENS ZIONIST ORGANIZATION OF AMERICA 62 127 000 90001112 CHAPEL HILL DUR
561151472,CATHOLIC DAUGHTERS OF THE AMERICAS 1643 CT INFANT F PRAGUE
561153603,NATIONAL ASSOCIAITON OF PARENTS AND PROF FOR SAFE ALTRNTVS IN CHLDBRTH
561156105,ALUMNAE ASSOCIATION OF MOUNT HOLYOKE COLLEGE INC PIEDMONT
561156162,NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS LORD CLARENDON CHAPTER
561157877,JARVIS MEMORIAL UNITED METHODIST CHURCH NURSERY MOTHERS DAY OUT
561168939,WOMENS FORUM OF NORTH CAROLINA INC
561173586,BURLINGTON JUNIOR WOMANS CLUB INC
561190247,GOVERNOR CHARLES B AYCOCK BIRTH PLACE ADVISORY COMMITTEE INC
561190636,UNITED DAUGHTERS OF THE CONFEDERACY 2581 CARTERSVILLE
561195892,WOMENS HOSPITAL OF GREENSBORO AUXILIARY INC
561197270,ASHEBORO JUNIOR WOMANS CLUB
561198802,FAMILY ABUSE SERVICES OF ALAMANCE COUNTY INC
561209870,FAMILY CRISIS COUNCIL OF ROWAN INC
561215292,NORTH CAROLINA LAW ENFORCEMENT WOMENS ASSOCIATION
561223374,EDEN JUNIOR SERVICE LEAGUE INC
561224675,LADYSLIPPER INC
561235064,THE JUNIOR SERVICE LEAGUE OF LAURINBURG NORTH CAROLINA
561244166,SHELTER HOME OF CALDWELL COUNTY INCORPORATED
561248097,HIGHLANDS WOMANS CLUB
561251514,GOLDSBORO JUNIOR WOMANS CLUB
561256374,BLOCKADE RUNNER CHAPTER UNITED DAUGHTERS OF THE CONFEDERACY 2428 BLOCKADE RUNNER
561256798,OUTER BANKS WOMANS CLUB
561258543,REACH OF JACKSON COUNTY INC
561269568,SHELTERED AID TO FAMILIES IN
561271474,THE WOMENS CENTER INC COMPASS CENTER FOR WOMEN AND FAMILIES
561271687,VIDANT WOMENS AUXILIARY OF ROANOKE CHOWAN HOSPITAL
561275066,NORTH CAROLINA CENTER OF LAWS AFFECTING WOMEN INC
561276293,HELPMATE INC
561277630,NATIONAL ASSOCIATION OF UNIVERSITY WOMEN MONROE BRANCH
561278354,NATIONAL ASSOCIATION OF UNIVERSITY WOMEN GREENSBORO
561280490,CATHOLIC DAUGHTERS OF THE AMERICAS NORTH CAROLINA STATE COURT
561282557,PLANNED PARENTHOOD SOUTH ATLANTIC
561282837,CLEVELAND COUNTY ABUSE PREVENTION COUNCIL INC
561283932,NATIONAL ASSOCIATION OF UNIVERSITY WOMEN LAURINBURG BRANCH
561288074,WOMANS CLUB OF KINGS MOUNTAIN INC
561292656,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION THOMAS PERSON DAR
561305573,NATIONAL SOCIETY DAUGHTERS OF THE AMERICAN COLONISTS NORTH CAROLINA STATE SOCIETY
561315893,ZEBULON WOMANS CLUB INCORPORATED
561321800,DAUGHTERS OF THE AMERICAN COLONISTS VIRGINIA DARE CHAPTER
561322782,TRIANGLE CHAPTER OF THE OLDER WOMENS LEAGUE
561332817,REACH OF CHEROKEE COUNTY INC
561340549,PREGNANCY RESOURCE CENTER OF CHARLOTTE
561345420,FAMILY VIOLENCE AND RAPE CRISIS SERVICES
561352211,ALBEMARLE HOPELINE INC
561361790,THE WINSTON SALEM CHAPTER OF NATIONAL WOMEN OF ACHIEVEMENT INC
561370211,NATIONAL ASSOCIATION OF UNIVERSITY WOMEN WADESBORO BRANCH
561377385,ROXBORO WOMANS CLUB
561379760,NEW HOPE OF MCDOWELL
561380266,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION RICHARD DOBBS SPAIGHT DAR
561381649,NATIONAL FASTPITCH COACHES ASSOCIATION
561383462,WESLEY SHELTER INC
561386261,DULATOWN OUTREACH CENTER INC
561386281,FRIENDS OF THE ASHE COUNTY PUBLIC LIBRARY
561386613,CEDAR GROVE WORSHIP CENTER
561391247,OXFORD WOMANS CLUB GFWC NC
561391372,WOMANS CLUB OF CLAYTON
561391988,UNITED DAUGHTERS OF THE CONFEDERACY N CAROLINA DIVISION CHILDREN OF CON
561392198,ALPHA PI CHI SORORITY ALPHA LAMBDA CHAPTER
561393196,ROWAN COUNTY RESCUE SQUAD LADIES AUXILLIARY INC
561396320,WAKE FOREST WOMANS CLUB
561399953,OPTIONS TO DOMESTIC VIOLENCE AND SEXUAL ASSAULT
561401888,THE GARNER WOMANS CLUB
561402172,MY SISTERS HOUSE INC
561403511,CHURCH WOMEN UNITED HENDERSON COUNTY
561406933,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION BATTLE OF SHALLOW FORD DAR
561408414,ALPHA PI CHI NATIONAL SORORITY INC NORTH CAROLINA STATE COUNCIL
561412183,ONSLOW WOMENS CENTER
561417463,LA LECHE LEAGUE JACKSONVILLE NC
561423746,THE WOMENS LEAGUE OF EDEN
561438138,CENTER FOR FAMILY VIOLENCE PREVENTION
561443316,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC GREENSBORO MOM
561447789,UNITED DAUGHTERS OF THE CONFEDERACY 942 ROBESON CHAPTER
561448004,LA LECHE LEAGUE INTERNATIONAL INC LLL FAYETTEVILLE LA LECHE CAFE
561449033,SALEM PREGNANCY SUPPORT INC
561451532,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION RANDS MILL DAR
561452885,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION TRYON RESOLVES DAR
561453167,HANNAHS PLACE INC
561454335,SWAIN QUALLA SAFE INC
561457211,WOMENS PROFESSIONAL FORUM FOUNDATION INC
561466644,LA LECHE LEAGUE INTERNATIONAL INC 34033 GREENVILLE 2
561469206,CHRISTIAN LIFE HOME
561469847,SAFELIGHT INC
561476925,SAFE IN LENOIR COUNTY INC
561481574,LA LECHE LEAGUE OF THE UNITED STATES OF AMERICA LLL FAYETTEVILLE AM
