,organizationName,id,name,description,address,categories,revenue,EIN,totcntrbgfts,totcntrbs,Name,boston_region
470,Massachusetts Ride for the Ribbon Inc,939018,Massachusetts Ride for the Ribbon Inc,"The exempt purpose of the organization is to organize and sponsor funraising, educational and advoacy events and activities related to research into the treatment and cure of breast cancer; to provide financial grants and other forms of non-financial support to individuals and organizations conducting research into the treatment and cure of breast cancer and to undertake other activities in furtherance of its mission which are not otherwise prohibited by applicable law, as the board of directors May, from time to time, determine.",306 Center St,WHLTH,0,452400850,,,MASSACHUSETTS RIDE FOR THE RIBBON INC,No
471,Masconomet Girls Softball Association Inc,939177,Masconomet Girls Softball Association Inc,,48 RIVER ST,GIRL,0,452412208,,,MASCONOMET GIRLS SOFTBALL ASSOCIATION INC,No
472,Josephine Butler Center,940566,Josephine Butler Center,,989 Commonwealth Ave,GEN,0,452520142,,,JOSEPHINE BUTLER CENTER,No
473,Stand Up for Womens Safety Inc,944058,Stand Up for Womens Safety Inc,To empower women through self-defense education. Our mission is accomplished in several parts: by sponsoring individuals to become certified self-defense instructors; donating equipment to organizations teaching self-defense and rape prevention classes; sponsoring self-defense classes; and through educational materials to provide information on rape prevention and self-defense.,195 Worcester St Ste 201,GV,0,452814342,,,STAND UP FOR WOMENS SAFETY INC,No
474,Help Women Heal Incorporated,946018,Help Women Heal Incorporated,,160 W Main St,WEDUC,0,453001314,,,HELP WOMEN HEAL INCORPORATED,No
475,Deeperhope Institute for Womens Spiritual Life,960433,Deeperhope Institute for Womens Spiritual Life,,49 UPLAND AVE,WRELIG,0,454420472,,,DEEPERHOPE INSTITUTE FOR WOMENS SPIRITUAL LIFE,No
476,Firefighters Wives Association Fall River Firefighters Wives Assoc,962452,Firefighters Wives Association Fall River Firefighters Wives Assoc,,PO Box 423,WHSV,0,454599553,,,FIREFIGHTERS WIVES ASSOCIATION FALL RIVER FIREFIGHTERS WIVES ASSOC,No
477,Boston Area Girls Stem Collaborative Inc,963585,Boston Area Girls Stem Collaborative Inc,,590 Commonwealth Ave,ND,0,454700793,,,BOSTON AREA GIRLS STEM COLLABORATIVE INC,No
478,Nerd Girls Foundation,965259,Nerd Girls Foundation,,6 Straitsmouth Way,"WEDUC,WSW",0,454854969,,,NERD GIRLS FOUNDATION,No
479,Devar Womens Foundation Inc Devar Womens Foundation,981530,Devar Womens Foundation Inc Devar Womens Foundation,,18 ELLISON AVE,"WINTL,WSW",0,460766729,,,DEVAR WOMENS FOUNDATION INC DEVAR WOMENS FOUNDATION,No
480,My Destiny Foundation Inc,983350,My Destiny Foundation Inc,See schedule o,62 State Rd,GEN,0,460909998,,,MY DESTINY FOUNDATION INC,No
481,Navy Seal Foundation New England Inc,985360,Navy Seal Foundation New England Inc,Part 1: to provide support and opportunities to members of the naval special warfare community & families. - Part 3: the organization programs focus on relieving the intensities associated with service in the naval warfare community. All supported initiatives are designed to enhance the resilience and well being of our warriors and their families.,536 Bay Rd,WPSB,0,461075628,,,NAVY SEAL FOUNDATION NEW ENGLAND INC,No
482,Womens Locker Room Foundation Inc,991515,Womens Locker Room Foundation Inc,,199 Blue Hill Dr,WHSV,0,461556734,,,WOMENS LOCKER ROOM FOUNDATION INC,No
483,Women Empowerment Initiative for Change,992822,Women Empowerment Initiative for Change,,75 Garfield St,WHSV,0,461675787,,,WOMEN EMPOWERMENT INITIATIVE FOR CHANGE,No
484,Bodhi and Mind Yoga Inc Bodhi and Mind Yoga,994704,Bodhi and Mind Yoga Inc Bodhi and Mind Yoga,Providing free yoga to breast cancer survivors,809 South St,"WHLTH,WHSV",0,461876554,,,BODHI AND MIND YOGA INC BODHI AND MIND YOGA,No
485,Wellesley College Alumnae Association 2012 Class,998229,Wellesley College Alumnae Association 2012 Class,,106 Central Street,WEDUC,0,462233251,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 2012 CLASS,No
486,Wellesley College Alumnae Association 2013 Class,998334,Wellesley College Alumnae Association 2013 Class,,106 Central Street,WEDUC,0,462245055,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 2013 CLASS,No
487,River South Center,1012922,River South Center,,1150 hancock st lower level,WHSV,0,463716053,,,RIVER SOUTH CENTER,No
488,General Federation of Womens Clubs of Massachusetts Inc GFWC Norwood Junior Womans Club,1014403,General Federation of Womens Clubs of Massachusetts Inc GFWC Norwood Junior Womans Club,,PO Box 715,WSNW,0,463869945,,,GENERAL FEDERATION OF WOMENS CLUBS OF MASSACHUSETTS INC GFWC NORWOOD JUNIOR WOMANS CLUB,No
489,Hingham Mothers Club Inc,1014557,Hingham Mothers Club Inc,,96 Lazell St,WPSB,0,463884387,,,HINGHAM MOTHERS CLUB INC,No
490,Amilias Light Inc,1017294,Amilias Light Inc,To empower survivors of human trafficking in ways that foster their dignity and self-worth through opportunities to become self-sustaining.,PO Box 83,WHSV,0,464170798,,,AMILIAS LIGHT INC,No
491,Cultura Latina Dance Academy,1023463,Cultura Latina Dance Academy,,PO box 2683,WART,0,464995648,,,CULTURA LATINA DANCE ACADEMY,No
492,Na United Alumni,1025138,Na United Alumni,"It is the intent of na united alumni to provide annual monetary scholarships toone graduating senior player from the girls varsity soccer team from northattleboro high school located in north attleboro, massachusetts, to be referredto as the mallorie lindo ""positive attitude"" scholarship.Na united alumni May engage in any and all other charitable activitiespermitted to an organization exempt from federal income tax under section501(c)(3) of the code or corresponding future provisions of the federal tax law.To these ends, na united alumni May do and engage in any and all lawfulactivities that May be incidental or reasonably necessary to any of thesepurposes, and it shall have and May exercise all other powers and authoritynow or hereafter conferred upon unincorporated nonprofit associations in thecommonwealth of massachusetts.",92 Rosewood Ln,WEDUC,0,465247013,,,NA UNITED ALUMNI,No
493,Masconomet Varsity Girls Hockey Booster Club,1040164,Masconomet Varsity Girls Hockey Booster Club,,5 Carolina Way,GIRL,0,472005827,,,MASCONOMET VARSITY GIRLS HOCKEY BOOSTER CLUB,No
494,Wellesley College Alumnae Assoc 1975 Class,1053906,Wellesley College Alumnae Assoc 1975 Class,,106 Central Street,WEDUC,0,510151137,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1975 CLASS,No
495,Birthright of Greater Taunton Inc,1054360,Birthright of Greater Taunton Inc,,468 Bay St,GEN,0,510155754,,,BIRTHRIGHT OF GREATER TAUNTON INC,No
496,Wellesley College Alumnae Assoc 1976 Class,1058362,Wellesley College Alumnae Assoc 1976 Class,,106 Central Street,WEDUC,0,510192738,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1976 CLASS,No
497,Wellesley College Alumnae Assoc Delaware Wellesley Club,1069270,Wellesley College Alumnae Assoc Delaware Wellesley Club,,106 CENTRAL STREET,WEDUC,0,516016391,,,WELLESLEY COLLEGE ALUMNAE ASSOC DELAWARE WELLESLEY CLUB,No
498,Wellesley College Alumnae Association Baltimore Wellesley Club,1073717,Wellesley College Alumnae Association Baltimore Wellesley Club,,106 Central Street,WEDUC,0,521147604,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION BALTIMORE WELLESLEY CLUB,No
499,National Organization of Mothers of Twins Clubs Inc South Shore Mom,1077037,National Organization of Mothers of Twins Clubs Inc South Shore Mom,,28 bayfield rd,WHSV,0,521290487,,,NATIONAL ORGANIZATION OF MOTHERS OF TWINS CLUBS INC SOUTH SHORE MOM,No
500,Wellesley College Alumnae Assoc Washington Wellesley Club,1097201,Wellesley College Alumnae Assoc Washington Wellesley Club,,106 Central Street,WEDUC,0,526059714,,,WELLESLEY COLLEGE ALUMNAE ASSOC WASHINGTON WELLESLEY CLUB,No
501,Wellesley College Alumnae Assoc Wellesley Club of Central and Coast,1103374,Wellesley College Alumnae Assoc Wellesley Club of Central and Coast,,106 Central Street,WEDUC,0,541160331,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF CENTRAL AND COAST,No
502,Wellesley College Alumnae Assoc Blue Ridge Wellesley Club,1103993,Wellesley College Alumnae Assoc Blue Ridge Wellesley Club,,106 Central Street,WEDUC,0,541226845,,,WELLESLEY COLLEGE ALUMNAE ASSOC BLUE RIDGE WELLESLEY CLUB,No
503,Wellesley College Alumnae Association 2005 Class,1116068,Wellesley College Alumnae Association 2005 Class,,106 Central Street,WEDUC,0,542170279,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 2005 CLASS,No
504,National Charity League Blue Hills Chapter,1123679,National Charity League Blue Hills Chapter,,PO Box 152,WSNW,0,550804421,,,NATIONAL CHARITY LEAGUE BLUE HILLS CHAPTER,No
505,Taunton Dynamites,1123680,Taunton Dynamites,The dynamites provide softball training and development to girls aged 8-23 to advance their opportunities in high school and college. It is an all volunteer operation with experienced coaches and alumni providing this service at cost to its members.,15 Creeping Jenny Ln,GIRL,0,550804570,,,TAUNTON DYNAMITES,No
506,Wellesley College Alumnae Association Wellesley Club of Santa Barbara,1125156,Wellesley College Alumnae Association Wellesley Club of Santa Barbara,,106 Central Street,WEDUC,0,554706748,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,No
507,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,1125159,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,,106 CENTRAL STREET,,0,554706748,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,No
508,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,1125161,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,,106 CENTRAL STREET,,0,554706748,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,No
509,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,1125162,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,,106 CENTRAL STREET,,0,554706748,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,No
510,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,1125163,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,,106 CENTRAL STREET,,0,554706748,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF SANTA BARBARA,No
511,Wellesley College Alumnae Assoc Wellesley North Carolina Piedmont,1134116,Wellesley College Alumnae Assoc Wellesley North Carolina Piedmont,,106 Central Street,WEDUC,0,561745128,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY NORTH CAROLINA PIEDMONT,No
512,Women of Courage,1144284,Women of Courage,,PO Box 190235,WHLTH,0,562533890,,,WOMEN OF COURAGE,No
513,Wellesley College Alumnae Association Class 2007,1145920,Wellesley College Alumnae Association Class 2007,,106 Central Street,WEDUC,0,562653969,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION CLASS 2007,No
514,West Bridgewater Girls Soccer Club,1158559,West Bridgewater Girls Soccer Club,,92 BEDFORD ST,GIRL,0,571173627,,,WEST BRIDGEWATER GIRLS SOCCER CLUB,No
515,Greater Fall River Domestic Violence Coalition,1213892,Greater Fall River Domestic Violence Coalition,,PO Box 2095,GV,0,593821638,,,GREATER FALL RIVER DOMESTIC VIOLENCE COALITION,No
516,Wellesley College Alumnae Association Class of 2002,1324355,Wellesley College Alumnae Association Class of 2002,,106 Central Street,WEDUC,0,743051057,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION CLASS OF 2002,No
517,Asian Sisters Participating in Reaching Excellence Inc Aspire,1388017,Asian Sisters Participating in Reaching Excellence Inc Aspire,"Aspire is a boston-based non-profit organization dedicated to developing career and leadership skills for asian american girls and women. Our organization acknowledges the specific social and cultural pressures faced by asian american high school, college, and professional women and seeks to engage and educate asian american girls and women to become effective life-long leaders.",PO Box 51037,WEDUC,0,770596609,,,ASIAN SISTERS PARTICIPATING IN REACHING EXCELLENCE INC ASPIRE,No
518,LA Leche League International Inc Lll Bay State,1395136,LA Leche League International Inc Lll Bay State,,847 Washington St,WSNW,0,800367945,,,LA LECHE LEAGUE INTERNATIONAL INC LLL BAY STATE,No
519,Marshfield Womenade Inc,1404064,Marshfield Womenade Inc,,18 Aunt Lizzies Ln,WADV,0,800938974,,,MARSHFIELD WOMENADE INC,No
520,Wellesley College Alumnae Assoc Tucson Wellesley Club,1440999,Wellesley College Alumnae Assoc Tucson Wellesley Club,,106 Central Street,WEDUC,0,860318935,,,WELLESLEY COLLEGE ALUMNAE ASSOC TUCSON WELLESLEY CLUB,No
521,Wellesley College Alumnae Association 2006 Class,1461659,Wellesley College Alumnae Association 2006 Class,,106 central street,WEDUC,0,900276679,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 2006 CLASS,No
522,Binah School,1463250,Binah School,Part 1: the school provides a creative religious Jewish learning environment for girls at middle and secondary levels. - Part 3: the binah school seeks to provide a creative religious Jewish learning environment for girls at the middle school and secondary school levels.,18 HARDING ST,WEDUC,0,900402513,,,BINAH SCHOOL,No
523,Comite de Festejos de Loma Larga En Boston,1466448,Comite de Festejos de Loma Larga En Boston,,152 lexington st apt 2,GEN,0,900582794,,,COMITE DE FESTEJOS DE LOMA LARGA EN BOSTON,No
524,Wellesley College Alumnae Assoc 1962 Class,1488162,Wellesley College Alumnae Assoc 1962 Class,,106 Central Street,WEDUC,0,911819138,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1962 CLASS,No
525,Wellesley College Alumnae Assoc 1973 Class,1488163,Wellesley College Alumnae Assoc 1973 Class,,106 Central Street,WEDUC,0,911819143,,,WELLESLEY COLLEGE ALUMNAE ASSOC 1973 CLASS,No
526,Wellesley College Alumnae Association 1998 Class,1491202,Wellesley College Alumnae Association 1998 Class,,106 Central Street,WEDUC,0,911924022,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION 1998 CLASS,No
527,Wellesley College Alumnae Association Wellesley in SC and Coastal Georgia,1497138,Wellesley College Alumnae Association Wellesley in SC and Coastal Georgia,,106 CENTRAL STREET,WEDUC,0,912142116,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY IN SC AND COASTAL GEORGIA,No
528,Wellesley College Alumnae Association Wellesley Club of New Mexico,1497139,Wellesley College Alumnae Association Wellesley Club of New Mexico,,106 Central Street,WEDUC,0,912142121,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION WELLESLEY CLUB OF NEW MEXICO,No
529,Wellesley College Alumnae Association Memphis Wellesley Club,1497140,Wellesley College Alumnae Association Memphis Wellesley Club,,106 Central Street,WEDUC,0,912142122,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION MEMPHIS WELLESLEY CLUB,No
530,Wellseley College Alumnae Association Utah Wellesley Club,1497141,Wellseley College Alumnae Association Utah Wellesley Club,,106 Central Street,WEDUC,0,912142123,,,WELLSELEY COLLEGE ALUMNAE ASSOCIATION UTAH WELLESLEY CLUB,No
531,Wellesley College Alumnae Association Arkansas Wellesley Club,1497142,Wellesley College Alumnae Association Arkansas Wellesley Club,,106 central street,WEDUC,0,912142394,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION ARKANSAS WELLESLEY CLUB,No
532,Wellesley College Alumnae Assoc Oregon Wellesley Club,1517552,Wellesley College Alumnae Assoc Oregon Wellesley Club,,106 Central Street,WEDUC,0,936042146,,,WELLESLEY COLLEGE ALUMNAE ASSOC OREGON WELLESLEY CLUB,No
533,Wellesley College Alumnae Assoc Wellesley Club of Silicon Valley,1545009,Wellesley College Alumnae Assoc Wellesley Club of Silicon Valley,,106 Central Street,WEDUC,0,946138227,,,WELLESLEY COLLEGE ALUMNAE ASSOC WELLESLEY CLUB OF SILICON VALLEY,No
534,Refresh and Re Fire Ministires Womens Ministry,1589600,Refresh and Re Fire Ministires Womens Ministry,,150 High St,WRELIG,0,463994445,,,REFRESH AND RE FIRE MINISTIRES WOMENS MINISTRY,No
535,Northern Uganda Women and Children Support Initiative Inc Nuwocsi,1606502,Northern Uganda Women and Children Support Initiative Inc Nuwocsi,,6 Liberty Sq Pmb 969,WHSV,0,470974109,,,NORTHERN UGANDA WOMEN AND CHILDREN SUPPORT INITIATIVE INC NUWOCSI,No
536,Breast Care Naturally Foundation Inc,1610413,Breast Care Naturally Foundation Inc,,84 NORTH MAIN ST 3RD FLR,WHLTH,0,472491322,,,BREAST CARE NATURALLY FOUNDATION INC,No
537,Military Assault and Sexual Trauma Survivors,1612429,Military Assault and Sexual Trauma Survivors,,58 LAKE ST,GV,0,473135594,,,MILITARY ASSAULT AND SEXUAL TRAUMA SURVIVORS,No
538,Corp Famous,1628633,Corp Famous,Children education and cultural awarness,19a Princeton St,WHSV,0,462761759,,,CORP FAMOUS,No
539,Wellesley College Alumnae Association Class of 2014,1630997,Wellesley College Alumnae Association Class of 2014,,106 CENTRAL ST,WEDUC,0,471385456,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION CLASS OF 2014,No
540,Les Sentinels the Sentinels,1631075,Les Sentinels the Sentinels,"Part 1: to gather together, strategize and equip haitian mothers of the community in one accord to pray for the welfare of our children and family as they face challenges that come over them. - Part 3: to gather together, strategize and equip haitian families of the community in one accord to pray for the welfare of our children and family as they face challenges that come over them.",357 Ash St,WRELIG,0,471457414,,,LES SENTINELS THE SENTINELS,No
541,Working Moms Playgroup Inc,1631643,Working Moms Playgroup Inc,,15 Rustic Rd,GEN,0,471869931,,,WORKING MOMS PLAYGROUP INC,No
542,Wellesley College Alumnae Association Class of 2015,1635174,Wellesley College Alumnae Association Class of 2015,,106 CENTRAL ST,WEDUC,0,473423754,,,WELLESLEY COLLEGE ALUMNAE ASSOCIATION CLASS OF 2015,No
543,League of Women Voters of Needham Education Fund Inc,1635298,League of Women Voters of Needham Education Fund Inc,,PO Box 920115,WSNW,0,473468333,,,LEAGUE OF WOMEN VOTERS OF NEEDHAM EDUCATION FUND INC,No
544,Moving Leaders Forward Inc,1636835,Moving Leaders Forward Inc,"Our mission is to create self confident and strong future leaders and to help middle and high school aged girls to enhance performance, improve communication skills and develop mental and physical strength.",60 ledgewood place no 2nd FL,GIRL,0,473918745,,,MOVING LEADERS FORWARD INC,No
545,Rochester Womens Club Inc,1642370,Rochester Womens Club Inc,,PO Box 211,WSNW,0,471866113,,,ROCHESTER WOMENS CLUB INC,No
546,Polish Womens Business and Professional Club Inc,1644174,Polish Womens Business and Professional Club Inc,,430 Oliver St,WHSV,0,474062872,,,POLISH WOMENS BUSINESS AND PROFESSIONAL CLUB INC,No
547,Cultivate Womanhood Inc,1650441,Cultivate Womanhood Inc,,PO Box 220421,GIRL,0,471100775,,,CULTIVATE WOMANHOOD INC,No
548,Psychopath Free Inc,1655105,Psychopath Free Inc,,118 Charles St Apt 8,GEN,0,473865791,,,PSYCHOPATH FREE INC,No
549,United Womens Ball Hockey Foundation Inc,1655473,United Womens Ball Hockey Foundation Inc,Part 1: to promote womens health and social issues including activity team building and confidence and womens issues such as breast cancer - part 3: to ensure spirit of physical fitness well being and social issues with young women.,70 Cliff Ave,GIRL,0,473988941,,,UNITED WOMENS BALL HOCKEY FOUNDATION INC,No
550,Care Advocates Network Inc,1658067,Care Advocates Network Inc,"Care advocates network Inc is a network of breast cancer advocates that promotes communication, advocacy, research and education towards the goal of ending deaths from breast cancer.",50 Overlook Dr,WHLTH,0,474613582,,,CARE ADVOCATES NETWORK INC,No
